Município,codmun,UF,idsus_fx,Grupo Homogêneo
Matias Cardoso,314085,MG,"6 a 6,9",GH6
Matipó,314090,MG,"6 a 6,9",GH4
Mato Verde,314100,MG,"6 a 6,9",GH6
Matozinhos,314110,MG,"5 a 5,9",GH3
Matutina,314120,MG,"6 a 6,9",GH5
Medeiros,314130,MG,"5 a 5,9",GH5
Medina,314140,MG,"5 a 5,9",GH4
Mendes Pimentel,314150,MG,"5 a 5,9",GH6
Mercês,314160,MG,"6 a 6,9",GH6
Mesquita,314170,MG,"6 a 6,9",GH6
Minas Novas,314180,MG,"5 a 5,9",GH4
Minduri,314190,MG,"6 a 6,9",GH6
Mirabela,314200,MG,"6 a 6,9",GH4
Miradouro,314210,MG,"6 a 6,9",GH5
Miraí,314220,MG,"6 a 6,9",GH5
Miravânia,314225,MG,"5 a 5,9",GH6
Moeda,314230,MG,"6 a 6,9",GH5
Moema,314240,MG,"6 a 6,9",GH6
Monjolos,314250,MG,"7 a 7,9",GH6
Monsenhor Paulo,314260,MG,"5 a 5,9",GH5
Montalvânia,314270,MG,"4 a 4,9",GH6
Monte Alegre de Minas,314280,MG,"5 a 5,9",GH5
Monte Azul,314290,MG,"5 a 5,9",GH4
Monte Belo,314300,MG,"5 a 5,9",GH5
Monte Carmelo,314310,MG,"5 a 5,9",GH3
Monte Formoso,314315,MG,"6 a 6,9",GH6
Monte Santo de Minas,314320,MG,"7 a 7,9",GH3
Montes Claros,314330,MG,"6 a 6,9",GH2
Monte Sião,314340,MG,"5 a 5,9",GH5
Montezuma,314345,MG,"6 a 6,9",GH6
Morada Nova de Minas,314350,MG,"6 a 6,9",GH5
Morro da Garça,314360,MG,"7 a 7,9",GH5
Morro do Pilar,314370,MG,"5 a 5,9",GH6
Munhoz,314380,MG,"5 a 5,9",GH6
Muriaé,314390,MG,"7 a 7,9",GH2
Mutum,314400,MG,"5 a 5,9",GH4
Muzambinho,314410,MG,"4 a 4,9",GH5
Nacip Raydan,314420,MG,"5 a 5,9",GH6
Nanuque,314430,MG,"4 a 4,9",GH4
Naque,314435,MG,"6 a 6,9",GH6
Natalândia,314437,MG,"4 a 4,9",GH6
Natércia,314440,MG,"6 a 6,9",GH5
Nazareno,314450,MG,"5 a 5,9",GH5
Nepomuceno,314460,MG,"6 a 6,9",GH5
Ninheira,314465,MG,"6 a 6,9",GH6
Nova Belém,314467,MG,"5 a 5,9",GH6
Nova Era,314470,MG,"4 a 4,9",GH5
Nova Lima,314480,MG,"6 a 6,9",GH3
Nova Módica,314490,MG,"6 a 6,9",GH6
Nova Ponte,314500,MG,"5 a 5,9",GH5
Nova Porteirinha,314505,MG,"6 a 6,9",GH6
Nova Resende,314510,MG,"5 a 5,9",GH5
Nova Serrana,314520,MG,"4 a 4,9",GH3
Novo Cruzeiro,314530,MG,"5 a 5,9",GH4
Novo Oriente de Minas,314535,MG,"5 a 5,9",GH6
Novorizonte,314537,MG,"6 a 6,9",GH6
Olaria,314540,MG,"6 a 6,9",GH6
Olhos-d'Água,314545,MG,"6 a 6,9",GH6
Olímpio Noronha,314550,MG,"7 a 7,9",GH5
Oliveira,314560,MG,"6 a 6,9",GH3
Oliveira Fortes,314570,MG,"6 a 6,9",GH6
Onça de Pitangui,314580,MG,"6 a 6,9",GH5
Oratórios,314585,MG,"7 a 7,9",GH5
Orizânia,314587,MG,"5 a 5,9",GH6
Ouro Branco,314590,MG,"5 a 5,9",GH3
Ouro Fino,314600,MG,"4 a 4,9",GH3
Ouro Preto,314610,MG,"6 a 6,9",GH3
Ouro Verde de Minas,314620,MG,"5 a 5,9",GH6
Padre Carvalho,314625,MG,"5 a 5,9",GH6
Padre Paraíso,314630,MG,"5 a 5,9",GH6
Paineiras,314640,MG,"6 a 6,9",GH5
Pains,314650,MG,"5 a 5,9",GH5
Pai Pedro,314655,MG,"5 a 5,9",GH6
Paiva,314660,MG,"6 a 6,9",GH5
Palma,314670,MG,"7 a 7,9",GH6
Palmópolis,314675,MG,"6 a 6,9",GH6
Papagaios,314690,MG,"6 a 6,9",GH5
Paracatu,314700,MG,"4 a 4,9",GH3
Pará de Minas,314710,MG,"6 a 6,9",GH3
Paraguaçu,314720,MG,"5 a 5,9",GH5
Paraisópolis,314730,MG,"5 a 5,9",GH5
Paraopeba,314740,MG,"5 a 5,9",GH3
Passabém,314750,MG,"5 a 5,9",GH6
Passa Quatro,314760,MG,"7 a 7,9",GH3
Passa Tempo,314770,MG,"6 a 6,9",GH5
Passa-Vinte,314780,MG,"5 a 5,9",GH6
Passos,314790,MG,"6 a 6,9",GH2
Patis,314795,MG,"5 a 5,9",GH6
Patos de Minas,314800,MG,"6 a 6,9",GH3
Patrocínio,314810,MG,"6 a 6,9",GH3
Patrocínio do Muriaé,314820,MG,"6 a 6,9",GH6
Paula Cândido,314830,MG,"7 a 7,9",GH6
Paulistas,314840,MG,"5 a 5,9",GH6
Pavão,314850,MG,"5 a 5,9",GH6
Peçanha,314860,MG,"5 a 5,9",GH6
Pedra Azul,314870,MG,"6 a 6,9",GH4
Pedra Bonita,314875,MG,"5 a 5,9",GH6
Pedra do Anta,314880,MG,"7 a 7,9",GH6
Pedra do Indaiá,314890,MG,"6 a 6,9",GH5
Pedra Dourada,314900,MG,"6 a 6,9",GH6
Pedralva,314910,MG,"5 a 5,9",GH5
Pedras de Maria da Cruz,314915,MG,"5 a 5,9",GH6
Pedrinópolis,314920,MG,"5 a 5,9",GH5
Pedro Leopoldo,314930,MG,"5 a 5,9",GH3
Pedro Teixeira,314940,MG,"6 a 6,9",GH6
Pequeri,314950,MG,"6 a 6,9",GH5
Pequi,314960,MG,"6 a 6,9",GH5
Perdigão,314970,MG,"4 a 4,9",GH5
Perdizes,314980,MG,"6 a 6,9",GH5
Perdões,314990,MG,"6 a 6,9",GH3
Periquito,314995,MG,"5 a 5,9",GH6
Pescador,315000,MG,"6 a 6,9",GH6
Piau,315010,MG,"6 a 6,9",GH5
Piedade de Caratinga,315015,MG,"7 a 7,9",GH6
Piedade de Ponte Nova,315020,MG,"5 a 5,9",GH5
Piedade do Rio Grande,315030,MG,"6 a 6,9",GH5
Piedade dos Gerais,315040,MG,"6 a 6,9",GH6
Pimenta,315050,MG,"6 a 6,9",GH5
Pingo-d'Água,315053,MG,"5 a 5,9",GH6
Pintópolis,315057,MG,"5 a 5,9",GH6
Piracema,315060,MG,"6 a 6,9",GH5
Pirajuba,315070,MG,"5 a 5,9",GH5
Piranga,315080,MG,"6 a 6,9",GH6
Piranguçu,315090,MG,"5 a 5,9",GH6
Piranguinho,315100,MG,"6 a 6,9",GH5
Pirapetinga,315110,MG,"6 a 6,9",GH5
Pirapora,315120,MG,"5 a 5,9",GH3
Piraúba,315130,MG,"5 a 5,9",GH6
Pitangui,315140,MG,"5 a 5,9",GH3
Piumhi,315150,MG,"7 a 7,9",GH3
Planura,315160,MG,"5 a 5,9",GH5
Poço Fundo,315170,MG,"5 a 5,9",GH5
Poços de Caldas,315180,MG,"5 a 5,9",GH3
Pocrane,315190,MG,"5 a 5,9",GH6
Pompéu,315200,MG,"6 a 6,9",GH5
Ponte Nova,315210,MG,"6 a 6,9",GH3
Ponto Chique,315213,MG,"5 a 5,9",GH6
Ponto dos Volantes,315217,MG,"6 a 6,9",GH6
Porteirinha,315220,MG,"5 a 5,9",GH4
Porto Firme,315230,MG,"6 a 6,9",GH6
Poté,315240,MG,"6 a 6,9",GH6
Pouso Alegre,315250,MG,"5 a 5,9",GH2
Pouso Alto,315260,MG,"6 a 6,9",GH5
Prados,315270,MG,"5 a 5,9",GH5
Prata,315280,MG,"4 a 4,9",GH5
Pratápolis,315290,MG,"7 a 7,9",GH5
Pratinha,315300,MG,"5 a 5,9",GH5
Presidente Bernardes,315310,MG,"7 a 7,9",GH6
Presidente Juscelino,315320,MG,"7 a 7,9",GH6
Presidente Kubitschek,315330,MG,"7 a 7,9",GH6
Presidente Olegário,315340,MG,"6 a 6,9",GH5
Alto Jequitibá,315350,MG,"6 a 6,9",GH6
Prudente de Morais,315360,MG,"6 a 6,9",GH6
Quartel Geral,315370,MG,"5 a 5,9",GH5
Queluzito,315380,MG,"6 a 6,9",GH5
Raposos,315390,MG,"5 a 5,9",GH5
Raul Soares,315400,MG,"6 a 6,9",GH4
Recreio,315410,MG,"5 a 5,9",GH6
Reduto,315415,MG,"6 a 6,9",GH6
Resende Costa,315420,MG,"6 a 6,9",GH6
Resplendor,315430,MG,"6 a 6,9",GH4
Ressaquinha,315440,MG,"6 a 6,9",GH5
Riachinho,315445,MG,"5 a 5,9",GH6
Riacho dos Machados,315450,MG,"5 a 5,9",GH6
Ribeirão das Neves,315460,MG,"5 a 5,9",GH4
Ribeirão Vermelho,315470,MG,"6 a 6,9",GH5
Rio Acima,315480,MG,"6 a 6,9",GH5
Rio Casca,315490,MG,"5 a 5,9",GH6
Rio Doce,315500,MG,"6 a 6,9",GH6
Rio do Prado,315510,MG,"6 a 6,9",GH6
Rio Espera,315520,MG,"5 a 5,9",GH6
Rio Manso,315530,MG,"6 a 6,9",GH5
Rio Novo,315540,MG,"6 a 6,9",GH6
Rio Paranaíba,315550,MG,"4 a 4,9",GH5
Rio Pardo de Minas,315560,MG,"6 a 6,9",GH4
Rio Piracicaba,315570,MG,"5 a 5,9",GH5
Rio Pomba,315580,MG,"6 a 6,9",GH3
Rio Preto,315590,MG,"6 a 6,9",GH6
Rio Vermelho,315600,MG,"5 a 5,9",GH6
Ritápolis,315610,MG,"6 a 6,9",GH6
Rochedo de Minas,315620,MG,"5 a 5,9",GH5
Rodeiro,315630,MG,"6 a 6,9",GH5
Romaria,315640,MG,"5 a 5,9",GH5
Rosário da Limeira,315645,MG,"7 a 7,9",GH6
Rubelita,315650,MG,"6 a 6,9",GH6
Rubim,315660,MG,"6 a 6,9",GH6
Sabará,315670,MG,"4 a 4,9",GH3
Sabinópolis,315680,MG,"6 a 6,9",GH4
Sacramento,315690,MG,"6 a 6,9",GH3
Salinas,315700,MG,"5 a 5,9",GH4
Salto da Divisa,315710,MG,"5 a 5,9",GH6
Santa Bárbara,315720,MG,"6 a 6,9",GH5
Santa Bárbara do Leste,315725,MG,"6 a 6,9",GH6
Santa Bárbara do Monte Verde,315727,MG,"5 a 5,9",GH6
Santa Bárbara do Tugúrio,315730,MG,"5 a 5,9",GH6
Santa Cruz de Minas,315733,MG,"5 a 5,9",GH6
Santa Cruz de Salinas,315737,MG,"6 a 6,9",GH6
Santa Cruz do Escalvado,315740,MG,"6 a 6,9",GH6
Santa Efigênia de Minas,315750,MG,"5 a 5,9",GH6
Santa Fé de Minas,315760,MG,"5 a 5,9",GH6
Santa Helena de Minas,315765,MG,"5 a 5,9",GH6
Santa Juliana,315770,MG,"5 a 5,9",GH5
Santa Luzia,315780,MG,"4 a 4,9",GH3
Santa Margarida,315790,MG,"6 a 6,9",GH6
Santa Maria de Itabira,315800,MG,"5 a 5,9",GH6
Santa Maria do Salto,315810,MG,"5 a 5,9",GH6
Santa Maria do Suaçuí,315820,MG,"4 a 4,9",GH4
Santana da Vargem,315830,MG,"6 a 6,9",GH5
Santana de Cataguases,315840,MG,"6 a 6,9",GH6
Santana de Pirapama,315850,MG,"6 a 6,9",GH6
Santana do Deserto,315860,MG,"6 a 6,9",GH5
Santana do Garambéu,315870,MG,"6 a 6,9",GH6
Santana do Jacaré,315880,MG,"5 a 5,9",GH6
Santana do Manhuaçu,315890,MG,"5 a 5,9",GH6
Santana do Paraíso,315895,MG,"5 a 5,9",GH5
Santana do Riacho,315900,MG,"6 a 6,9",GH6
Santana dos Montes,315910,MG,"5 a 5,9",GH6
Santa Rita de Caldas,315920,MG,"5 a 5,9",GH5
Santa Rita de Jacutinga,315930,MG,"5 a 5,9",GH6
Santa Rita de Minas,315935,MG,"6 a 6,9",GH5
Santa Rita de Ibitipoca,315940,MG,"5 a 5,9",GH6
Santa Rita do Itueto,315950,MG,"5 a 5,9",GH6
Santa Rita do Sapucaí,315960,MG,"5 a 5,9",GH3
Santa Rosa da Serra,315970,MG,"5 a 5,9",GH5
Santa Vitória,315980,MG,"5 a 5,9",GH5
Santo Antônio do Amparo,315990,MG,"6 a 6,9",GH3
Santo Antônio do Aventureiro,316000,MG,"6 a 6,9",GH5
Santo Antônio do Grama,316010,MG,"7 a 7,9",GH5
Santo Antônio do Itambé,316020,MG,"7 a 7,9",GH6
Santo Antônio do Jacinto,316030,MG,"5 a 5,9",GH6
Santo Antônio do Monte,316040,MG,"6 a 6,9",GH3
Santo Antônio do Retiro,316045,MG,"5 a 5,9",GH6
Santo Antônio do Rio Abaixo,316050,MG,"5 a 5,9",GH6
Santo Hipólito,316060,MG,"6 a 6,9",GH6
Santos Dumont,316070,MG,"5 a 5,9",GH3
São Bento Abade,316080,MG,"7 a 7,9",GH6
São Brás do Suaçuí,316090,MG,"5 a 5,9",GH5
São Domingos das Dores,316095,MG,"6 a 6,9",GH6
São Domingos do Prata,316100,MG,"5 a 5,9",GH5
São Félix de Minas,316105,MG,"6 a 6,9",GH6
São Francisco,316110,MG,"5 a 5,9",GH4
São Francisco de Paula,316120,MG,"6 a 6,9",GH6
São Francisco de Sales,316130,MG,"5 a 5,9",GH5
São Francisco do Glória,316140,MG,"6 a 6,9",GH6
São Geraldo,316150,MG,"5 a 5,9",GH6
São Geraldo da Piedade,316160,MG,"5 a 5,9",GH6
São Geraldo do Baixio,316165,MG,"4 a 4,9",GH6
São Gonçalo do Abaeté,316170,MG,"6 a 6,9",GH5
São Gonçalo do Pará,316180,MG,"5 a 5,9",GH5
São Gonçalo do Rio Abaixo,316190,MG,"6 a 6,9",GH5
São Gonçalo do Sapucaí,316200,MG,"4 a 4,9",GH3
São Gotardo,316210,MG,"4 a 4,9",GH3
São João Batista do Glória,316220,MG,"7 a 7,9",GH5
São João da Lagoa,316225,MG,"6 a 6,9",GH6
São João da Mata,316230,MG,"6 a 6,9",GH5
São João da Ponte,316240,MG,"6 a 6,9",GH4
São João das Missões,316245,MG,"5 a 5,9",GH6
São João del Rei,316250,MG,"5 a 5,9",GH3
São João do Manhuaçu,316255,MG,"5 a 5,9",GH6
São João do Manteninha,316257,MG,"5 a 5,9",GH6
São João do Oriente,316260,MG,"6 a 6,9",GH6
São João do Pacuí,316265,MG,"5 a 5,9",GH6
São João do Paraíso,316270,MG,"6 a 6,9",GH4
São João Evangelista,316280,MG,"5 a 5,9",GH6
São João Nepomuceno,316290,MG,"5 a 5,9",GH4
São Joaquim de Bicas,316292,MG,"6 a 6,9",GH5
São José da Barra,316294,MG,"7 a 7,9",GH5
São José da Lapa,316295,MG,"6 a 6,9",GH5
São José da Safira,316300,MG,"5 a 5,9",GH6
São José da Varginha,316310,MG,"6 a 6,9",GH5
São José do Alegre,316320,MG,"5 a 5,9",GH5
São José do Divino,316330,MG,"5 a 5,9",GH6
São José do Goiabal,316340,MG,"6 a 6,9",GH6
São José do Jacuri,316350,MG,"5 a 5,9",GH6
São José do Mantimento,316360,MG,"6 a 6,9",GH6
São Lourenço,316370,MG,"6 a 6,9",GH3
São Miguel do Anta,316380,MG,"6 a 6,9",GH6
São Pedro da União,316390,MG,"6 a 6,9",GH5
São Pedro dos Ferros,316400,MG,"5 a 5,9",GH6
São Pedro do Suaçuí,316410,MG,"5 a 5,9",GH6
São Romão,316420,MG,"5 a 5,9",GH6
São Roque de Minas,316430,MG,"6 a 6,9",GH5
São Sebastião da Bela Vista,316440,MG,"6 a 6,9",GH5
São Sebastião da Vargem Alegre,316443,MG,"6 a 6,9",GH6
São Sebastião do Anta,316447,MG,"6 a 6,9",GH6
São Sebastião do Maranhão,316450,MG,"4 a 4,9",GH6
São Sebastião do Oeste,316460,MG,"5 a 5,9",GH5
São Sebastião do Paraíso,316470,MG,"6 a 6,9",GH3
São Sebastião do Rio Preto,316480,MG,"5 a 5,9",GH6
São Sebastião do Rio Verde,316490,MG,"6 a 6,9",GH6
São Tiago,316500,MG,"5 a 5,9",GH5
São Tomás de Aquino,316510,MG,"6 a 6,9",GH5
São Thomé das Letras,316520,MG,"5 a 5,9",GH5
São Vicente de Minas,316530,MG,"5 a 5,9",GH5
Sapucaí-Mirim,316540,MG,"6 a 6,9",GH5
Sardoá,316550,MG,"5 a 5,9",GH6
Sarzedo,316553,MG,"6 a 6,9",GH5
Setubinha,316555,MG,"5 a 5,9",GH6
Sem-Peixe,316556,MG,"6 a 6,9",GH6
Senador Amaral,316557,MG,"5 a 5,9",GH5
Senador Cortes,316560,MG,"6 a 6,9",GH6
Senador Firmino,316570,MG,"5 a 5,9",GH6
Senador José Bento,316580,MG,"6 a 6,9",GH5
Senador Modestino Gonçalves,316590,MG,"6 a 6,9",GH6
Senhora de Oliveira,316600,MG,"6 a 6,9",GH6
Senhora do Porto,316610,MG,"6 a 6,9",GH6
Senhora dos Remédios,316620,MG,"5 a 5,9",GH6
Sericita,316630,MG,"5 a 5,9",GH6
Seritinga,316640,MG,"6 a 6,9",GH5
Serra Azul de Minas,316650,MG,"6 a 6,9",GH6
Serra da Saudade,316660,MG,"6 a 6,9",GH5
Serra dos Aimorés,316670,MG,"5 a 5,9",GH6
Serra do Salitre,316680,MG,"5 a 5,9",GH5
Serrania,316690,MG,"6 a 6,9",GH5
Serranópolis de Minas,316695,MG,"5 a 5,9",GH6
Serranos,316700,MG,"6 a 6,9",GH6
Serro,316710,MG,"7 a 7,9",GH4
Sete Lagoas,316720,MG,"5 a 5,9",GH3
Silveirânia,316730,MG,"7 a 7,9",GH6
Silvianópolis,316740,MG,"6 a 6,9",GH5
Simão Pereira,316750,MG,"7 a 7,9",GH6
Simonésia,316760,MG,"6 a 6,9",GH6
Sobrália,316770,MG,"5 a 5,9",GH6
Soledade de Minas,316780,MG,"6 a 6,9",GH5
Tabuleiro,316790,MG,"7 a 7,9",GH6
Taiobeiras,316800,MG,"6 a 6,9",GH4
Taparuba,316805,MG,"5 a 5,9",GH6
Tapira,316810,MG,"5 a 5,9",GH5
Tapiraí,316820,MG,"6 a 6,9",GH5
Taquaraçu de Minas,316830,MG,"5 a 5,9",GH6
Tarumirim,316840,MG,"5 a 5,9",GH6
Teixeiras,316850,MG,"6 a 6,9",GH5
Teófilo Otoni,316860,MG,"4 a 4,9",GH4
Timóteo,316870,MG,"5 a 5,9",GH3
Tiradentes,316880,MG,"5 a 5,9",GH5
Tiros,316890,MG,"5 a 5,9",GH5
Tocantins,316900,MG,"5 a 5,9",GH5
Tocos do Moji,316905,MG,"5 a 5,9",GH5
Toledo,316910,MG,"5 a 5,9",GH5
Tombos,316920,MG,"6 a 6,9",GH5
Três Corações,316930,MG,"5 a 5,9",GH3
Três Marias,316935,MG,"6 a 6,9",GH3
Três Pontas,316940,MG,"5 a 5,9",GH3
Tumiritinga,316950,MG,"5 a 5,9",GH6
Tupaciguara,316960,MG,"4 a 4,9",GH3
Turmalina,316970,MG,"7 a 7,9",GH4
Turvolândia,316980,MG,"6 a 6,9",GH5
Ubá,316990,MG,"5 a 5,9",GH3
Ubaí,317000,MG,"5 a 5,9",GH6
Ubaporanga,317005,MG,"5 a 5,9",GH6
Uberaba,317010,MG,"6 a 6,9",GH2
Uberlândia,317020,MG,"5 a 5,9",GH1
Umburatiba,317030,MG,"6 a 6,9",GH6
Unaí,317040,MG,"4 a 4,9",GH3
União de Minas,317043,MG,"5 a 5,9",GH5
Uruana de Minas,317047,MG,"5 a 5,9",GH6
Urucânia,317050,MG,"6 a 6,9",GH5
Urucuia,317052,MG,"5 a 5,9",GH6
Vargem Alegre,317057,MG,"6 a 6,9",GH6
Vargem Bonita,317060,MG,"6 a 6,9",GH5
Vargem Grande do Rio Pardo,317065,MG,"6 a 6,9",GH6
Varginha,317070,MG,"5 a 5,9",GH2
Varjão de Minas,317075,MG,"6 a 6,9",GH5
Várzea da Palma,317080,MG,"5 a 5,9",GH3
Varzelândia,317090,MG,"5 a 5,9",GH6
Vazante,317100,MG,"6 a 6,9",GH5
Verdelândia,317103,MG,"6 a 6,9",GH6
Veredinha,317107,MG,"6 a 6,9",GH6
Veríssimo,317110,MG,"6 a 6,9",GH5
Vermelho Novo,317115,MG,"6 a 6,9",GH6
Vespasiano,317120,MG,"5 a 5,9",GH3
Viçosa,317130,MG,"5 a 5,9",GH3
Vieiras,317140,MG,"7 a 7,9",GH6
Mathias Lobato,317150,MG,"5 a 5,9",GH6
Virgem da Lapa,317160,MG,"6 a 6,9",GH6
Virgínia,317170,MG,"6 a 6,9",GH6
Virginópolis,317180,MG,"6 a 6,9",GH6
Virgolândia,317190,MG,"7 a 7,9",GH6
Visconde do Rio Branco,317200,MG,"6 a 6,9",GH3
Volta Grande,317210,MG,"5 a 5,9",GH5
Wenceslau Braz,317220,MG,"6 a 6,9",GH6
Afonso Cláudio,320010,ES,"5 a 5,9",GH4
Águia Branca,320013,ES,"5 a 5,9",GH6
Água Doce do Norte,320016,ES,"4 a 4,9",GH6
Alegre,320020,ES,"5 a 5,9",GH4
Alfredo Chaves,320030,ES,"5 a 5,9",GH5
Alto Rio Novo,320035,ES,"5 a 5,9",GH6
Anchieta,320040,ES,"7 a 7,9",GH3
Apiacá,320050,ES,"5 a 5,9",GH6
Aracruz,320060,ES,"6 a 6,9",GH3
Atilio Vivacqua,320070,ES,"6 a 6,9",GH5
Baixo Guandu,320080,ES,"5 a 5,9",GH4
Barra de São Francisco,320090,ES,"4 a 4,9",GH4
Boa Esperança,320100,ES,"6 a 6,9",GH5
Bom Jesus do Norte,320110,ES,"4 a 4,9",GH5
Brejetuba,320115,ES,"6 a 6,9",GH5
Cachoeiro de Itapemirim,320120,ES,"5 a 5,9",GH2
Cariacica,320130,ES,"5 a 5,9",GH3
Castelo,320140,ES,"5 a 5,9",GH3
Colatina,320150,ES,"5 a 5,9",GH3
Conceição da Barra,320160,ES,"5 a 5,9",GH5
Conceição do Castelo,320170,ES,"6 a 6,9",GH5
Divino de São Lourenço,320180,ES,"6 a 6,9",GH6
Domingos Martins,320190,ES,"6 a 6,9",GH3
Dores do Rio Preto,320200,ES,"6 a 6,9",GH5
Ecoporanga,320210,ES,"5 a 5,9",GH4
Fundão,320220,ES,"6 a 6,9",GH5
Governador Lindenberg,320225,ES,"6 a 6,9",GH5
Guaçuí,320230,ES,"6 a 6,9",GH4
Guarapari,320240,ES,"4 a 4,9",GH3
Ibatiba,320245,ES,"5 a 5,9",GH4
Ibiraçu,320250,ES,"6 a 6,9",GH5
Ibitirama,320255,ES,"5 a 5,9",GH6
Iconha,320260,ES,"6 a 6,9",GH5
Irupi,320265,ES,"6 a 6,9",GH6
Itaguaçu,320270,ES,"6 a 6,9",GH5
Itapemirim,320280,ES,"5 a 5,9",GH3
Itarana,320290,ES,"6 a 6,9",GH5
Iúna,320300,ES,"5 a 5,9",GH4
Jaguaré,320305,ES,"5 a 5,9",GH5
Jerônimo Monteiro,320310,ES,"6 a 6,9",GH6
João Neiva,320313,ES,"5 a 5,9",GH5
Laranja da Terra,320316,ES,"6 a 6,9",GH6
Linhares,320320,ES,"5 a 5,9",GH3
Mantenópolis,320330,ES,"5 a 5,9",GH6
Marataízes,320332,ES,"5 a 5,9",GH6
Marechal Floriano,320334,ES,"6 a 6,9",GH5
Marilândia,320335,ES,"6 a 6,9",GH5
Mimoso do Sul,320340,ES,"6 a 6,9",GH4
Montanha,320350,ES,"6 a 6,9",GH5
Mucurici,320360,ES,"6 a 6,9",GH6
Muniz Freire,320370,ES,"6 a 6,9",GH6
Muqui,320380,ES,"6 a 6,9",GH6
Nova Venécia,320390,ES,"5 a 5,9",GH3
Pancas,320400,ES,"5 a 5,9",GH6
Pedro Canário,320405,ES,"4 a 4,9",GH4
Pinheiros,320410,ES,"6 a 6,9",GH3
Piúma,320420,ES,"5 a 5,9",GH5
Ponto Belo,320425,ES,"6 a 6,9",GH6
Presidente Kennedy,320430,ES,"6 a 6,9",GH5
Rio Bananal,320435,ES,"5 a 5,9",GH5
Rio Novo do Sul,320440,ES,"6 a 6,9",GH5
Santa Leopoldina,320450,ES,"5 a 5,9",GH5
Santa Maria de Jetibá,320455,ES,"7 a 7,9",GH3
Santa Teresa,320460,ES,"6 a 6,9",GH3
São Domingos do Norte,320465,ES,"5 a 5,9",GH5
São Gabriel da Palha,320470,ES,"5 a 5,9",GH3
São José do Calçado,320480,ES,"5 a 5,9",GH4
São Mateus,320490,ES,"5 a 5,9",GH3
São Roque do Canaã,320495,ES,"6 a 6,9",GH5
Serra,320500,ES,"4 a 4,9",GH2
Sooretama,320501,ES,"5 a 5,9",GH5
Vargem Alta,320503,ES,"6 a 6,9",GH5
Venda Nova do Imigrante,320506,ES,"6 a 6,9",GH3
Viana,320510,ES,"6 a 6,9",GH5
Vila Pavão,320515,ES,"5 a 5,9",GH5
Vila Valério,320517,ES,"5 a 5,9",GH5
Vila Velha,320520,ES,"5 a 5,9",GH2
Vitória,320530,ES,"7 a 7,9",GH1
Angra dos Reis,330010,RJ,"6 a 6,9",GH3
Aperibé,330015,RJ,"5 a 5,9",GH5
Araruama,330020,RJ,"4 a 4,9",GH3
Areal,330022,RJ,"5 a 5,9",GH5
Armação dos Búzios,330023,RJ,"5 a 5,9",GH5
Arraial do Cabo,330025,RJ,"4 a 4,9",GH5
Barra do Piraí,330030,RJ,"4 a 4,9",GH3
Barra Mansa,330040,RJ,"5 a 5,9",GH3
Belford Roxo,330045,RJ,"2,5 a 3,9",GH4
Bom Jardim,330050,RJ,"4 a 4,9",GH3
Bom Jesus do Itabapoana,330060,RJ,"5 a 5,9",GH3
Cabo Frio,330070,RJ,"5 a 5,9",GH2
Cachoeiras de Macacu,330080,RJ,"4 a 4,9",GH3
Cambuci,330090,RJ,"4 a 4,9",GH5
Carapebus,330093,RJ,"4 a 4,9",GH5
Comendador Levy Gasparian,330095,RJ,"5 a 5,9",GH5
Campos dos Goytacazes,330100,RJ,"5 a 5,9",GH2
Cantagalo,330110,RJ,"5 a 5,9",GH3
Cardoso Moreira,330115,RJ,"5 a 5,9",GH5
Carmo,330120,RJ,"5 a 5,9",GH3
Casimiro de Abreu,330130,RJ,"5 a 5,9",GH3
Conceição de Macabu,330140,RJ,"4 a 4,9",GH5
Cordeiro,330150,RJ,"5 a 5,9",GH3
Duas Barras,330160,RJ,"4 a 4,9",GH5
Duque de Caxias,330170,RJ,"4 a 4,9",GH2
Engenheiro Paulo de Frontin,330180,RJ,"5 a 5,9",GH5
Guapimirim,330185,RJ,"2,5 a 3,9",GH4
Iguaba Grande,330187,RJ,"4 a 4,9",GH5
Itaboraí,330190,RJ,"4 a 4,9",GH3
Itaguaí,330200,RJ,"4 a 4,9",GH3
Italva,330205,RJ,"5 a 5,9",GH3
Itaocara,330210,RJ,"4 a 4,9",GH3
Itaperuna,330220,RJ,"5 a 5,9",GH2
Itatiaia,330225,RJ,"4 a 4,9",GH3
Japeri,330227,RJ,"4 a 4,9",GH4
Laje do Muriaé,330230,RJ,"5 a 5,9",GH6
Macaé,330240,RJ,"4 a 4,9",GH3
Macuco,330245,RJ,"5 a 5,9",GH5
Magé,330250,RJ,"4 a 4,9",GH4
Mangaratiba,330260,RJ,"5 a 5,9",GH3
Maricá,330270,RJ,"2,5 a 3,9",GH3
Mendes,330280,RJ,"5 a 5,9",GH5
Mesquita,330285,RJ,"4 a 4,9",GH5
Miguel Pereira,330290,RJ,"5 a 5,9",GH3
Miracema,330300,RJ,"5 a 5,9",GH4
Natividade,330310,RJ,"6 a 6,9",GH3
Nilópolis,330320,RJ,"2,5 a 3,9",GH3
Niterói,330330,RJ,"4 a 4,9",GH2
Nova Friburgo,330340,RJ,"4 a 4,9",GH3
Nova Iguaçu,330350,RJ,"4 a 4,9",GH2
Paracambi,330360,RJ,"4 a 4,9",GH3
Paraíba do Sul,330370,RJ,"5 a 5,9",GH3
