Município,codmun,UF,idsus_fx,Grupo Homogêneo
São Domingos do Capim,150720,PA,"4 a 4,9",GH4
São Félix do Xingu,150730,PA,"2,5 a 3,9",GH4
São Francisco do Pará,150740,PA,"4 a 4,9",GH6
São Geraldo do Araguaia,150745,PA,"4 a 4,9",GH4
São João da Ponta,150746,PA,"4 a 4,9",GH6
São João de Pirabas,150747,PA,"4 a 4,9",GH4
São João do Araguaia,150750,PA,"5 a 5,9",GH6
São Miguel do Guamá,150760,PA,"2,5 a 3,9",GH4
São Sebastião da Boa Vista,150770,PA,"2,5 a 3,9",GH6
Sapucaia,150775,PA,"4 a 4,9",GH6
Senador José Porfírio,150780,PA,"4 a 4,9",GH6
Soure,150790,PA,"2,5 a 3,9",GH6
Tailândia,150795,PA,"2,5 a 3,9",GH4
Terra Alta,150796,PA,"4 a 4,9",GH6
Terra Santa,150797,PA,"4 a 4,9",GH6
Tomé-Açu,150800,PA,"2,5 a 3,9",GH4
Tracuateua,150803,PA,"4 a 4,9",GH6
Trairão,150805,PA,"2,5 a 3,9",GH6
Tucumã,150808,PA,"4 a 4,9",GH4
Tucuruí,150810,PA,"2,5 a 3,9",GH3
Ulianópolis,150812,PA,"2,5 a 3,9",GH4
Uruará,150815,PA,"2,5 a 3,9",GH4
Vigia,150820,PA,"2,5 a 3,9",GH4
Viseu,150830,PA,"4 a 4,9",GH4
Vitória do Xingu,150835,PA,"5 a 5,9",GH6
Xinguara,150840,PA,"4 a 4,9",GH4
Serra do Navio,160005,AP,"5 a 5,9",GH5
Amapá,160010,AP,"5 a 5,9",GH6
Pedra Branca do Amapari,160015,AP,"4 a 4,9",GH5
Calçoene,160020,AP,"5 a 5,9",GH6
Cutias,160021,AP,"4 a 4,9",GH6
Ferreira Gomes,160023,AP,"5 a 5,9",GH5
Itaubal,160025,AP,"5 a 5,9",GH6
Laranjal do Jari,160027,AP,"5 a 5,9",GH4
Macapá,160030,AP,"5 a 5,9",GH2
Mazagão,160040,AP,"4 a 4,9",GH6
Oiapoque,160050,AP,"4 a 4,9",GH5
Porto Grande,160053,AP,"4 a 4,9",GH6
Pracuúba,160055,AP,"4 a 4,9",GH6
Santana,160060,AP,"5 a 5,9",GH4
Tartarugalzinho,160070,AP,"4 a 4,9",GH6
Vitória do Jari,160080,AP,"4 a 4,9",GH6
Abreulândia,170025,TO,"5 a 5,9",GH6
Aguiarnópolis,170030,TO,"5 a 5,9",GH5
Aliança do Tocantins,170035,TO,"5 a 5,9",GH6
Almas,170040,TO,"5 a 5,9",GH6
Alvorada,170070,TO,"4 a 4,9",GH5
Ananás,170100,TO,"6 a 6,9",GH6
Angico,170105,TO,"5 a 5,9",GH6
Aparecida do Rio Negro,170110,TO,"5 a 5,9",GH6
Aragominas,170130,TO,"6 a 6,9",GH6
Araguacema,170190,TO,"5 a 5,9",GH6
Araguaçu,170200,TO,"5 a 5,9",GH5
Araguaína,170210,TO,"6 a 6,9",GH2
Araguanã,170215,TO,"5 a 5,9",GH6
Araguatins,170220,TO,"5 a 5,9",GH6
Arapoema,170230,TO,"5 a 5,9",GH6
Arraias,170240,TO,"4 a 4,9",GH5
Augustinópolis,170255,TO,"5 a 5,9",GH4
Aurora do Tocantins,170270,TO,"4 a 4,9",GH6
Axixá do Tocantins,170290,TO,"5 a 5,9",GH6
Babaçulândia,170300,TO,"4 a 4,9",GH6
Bandeirantes do Tocantins,170305,TO,"5 a 5,9",GH5
Barra do Ouro,170307,TO,"5 a 5,9",GH6
Barrolândia,170310,TO,"5 a 5,9",GH6
Bernardo Sayão,170320,TO,"5 a 5,9",GH6
Bom Jesus do Tocantins,170330,TO,"5 a 5,9",GH6
Brasilândia do Tocantins,170360,TO,"5 a 5,9",GH5
Brejinho de Nazaré,170370,TO,"5 a 5,9",GH6
Buriti do Tocantins,170380,TO,"5 a 5,9",GH6
Cachoeirinha,170382,TO,"5 a 5,9",GH6
Campos Lindos,170384,TO,"5 a 5,9",GH5
Cariri do Tocantins,170386,TO,"5 a 5,9",GH5
Carmolândia,170388,TO,"5 a 5,9",GH6
Carrasco Bonito,170389,TO,"6 a 6,9",GH6
Caseara,170390,TO,"5 a 5,9",GH6
Centenário,170410,TO,"5 a 5,9",GH6
Chapada de Areia,170460,TO,"6 a 6,9",GH6
Chapada da Natividade,170510,TO,"5 a 5,9",GH6
Colinas do Tocantins,170550,TO,"5 a 5,9",GH4
Combinado,170555,TO,"5 a 5,9",GH6
Conceição do Tocantins,170560,TO,"6 a 6,9",GH6
Couto Magalhães,170600,TO,"5 a 5,9",GH6
Cristalândia,170610,TO,"6 a 6,9",GH6
Crixás do Tocantins,170625,TO,"5 a 5,9",GH5
Darcinópolis,170650,TO,"5 a 5,9",GH6
Dianópolis,170700,TO,"6 a 6,9",GH4
Divinópolis do Tocantins,170710,TO,"6 a 6,9",GH6
Dois Irmãos do Tocantins,170720,TO,"5 a 5,9",GH6
Dueré,170730,TO,"5 a 5,9",GH5
Esperantina,170740,TO,"4 a 4,9",GH6
Fátima,170755,TO,"6 a 6,9",GH6
Figueirópolis,170765,TO,"5 a 5,9",GH5
Filadélfia,170770,TO,"5 a 5,9",GH6
Formoso do Araguaia,170820,TO,"5 a 5,9",GH5
Fortaleza do Tabocão,170825,TO,"5 a 5,9",GH5
Goianorte,170830,TO,"5 a 5,9",GH6
Goiatins,170900,TO,"4 a 4,9",GH6
Guaraí,170930,TO,"5 a 5,9",GH3
Gurupi,170950,TO,"5 a 5,9",GH3
Ipueiras,170980,TO,"5 a 5,9",GH6
Itacajá,171050,TO,"5 a 5,9",GH6
Itaguatins,171070,TO,"5 a 5,9",GH6
Itapiratins,171090,TO,"5 a 5,9",GH6
Itaporã do Tocantins,171110,TO,"5 a 5,9",GH6
Jaú do Tocantins,171150,TO,"5 a 5,9",GH6
Juarina,171180,TO,"5 a 5,9",GH6
Lagoa da Confusão,171190,TO,"5 a 5,9",GH5
Lagoa do Tocantins,171195,TO,"5 a 5,9",GH6
